issue,theme,긍정,부정,중립,total
배터리 수명,제품 성능 및 기능,1,0,3,4
친절한 기사,설치 및 배송 서비스,4,0,0,4
만족스러운 사운드,사운드 및 음질,4,0,0,4
정확한 배송,배송 및 설치 서비스,4,0,0,4
식사시간 시청,OTT 및 다양한 시청 경험,2,0,2,4
편리한 사용,사용 및 편의성,4,0,0,4
아이들 만족,기타,4,0,0,4
훌륭한 디자인,디자인 및 외관,4,0,0,4
친절한 설치 서비스,배송 및 설치 서비스,4,0,0,4
아이들이 좋아함,아이 및 가족,4,0,0,4
비쌈,가격 및 구매 만족도,0,4,0,4
재구매 의사,가격 및 구매 결정,4,0,0,4
튼튼함,기술 및 성능,3,0,1,4
침대에서 사용,시청 환경 및 편의성,3,0,1,4
무선 사용 가능,사용 및 편의성,4,0,0,4
설치 서비스,배송 및 설치 서비스,4,0,0,4
최고,사용 만족도,4,0,0,4
최고의 제품,제품 품질 및 성능,4,0,0,4
전반적 만족,제품 품질 및 성능,4,0,0,4
캠핑용 사용,캠핑 및 야외 사용,2,0,1,3
캠핑에 적합,캠핑 및 야외 사용,3,0,0,3
심플한 디자인,디자인 및 인테리어,3,0,0,3
마음에 듦,기타,3,0,0,3
이동 용이,기타,3,0,0,3
설치 서비스 만족,기타,3,0,0,3
좋음,사용 만족도,3,0,0,3
이동성,이동성과 실용성,3,0,0,3
터치 작동,기능 및 사용성,3,0,0,3
좋은 스피커,제품 성능,3,0,0,3
생일 선물,선물 및 특별한 순간,2,0,1,3
성능 만족,제품 품질 및 성능,3,0,0,3
적극 추천,사용 만족도,3,0,0,3
캠핑용,기타,3,0,0,3
친절한 판매자,설치 및 배송 서비스,3,0,0,3
큰 크기,기타,1,0,2,3
캠핑에서 사용 좋음,캠핑 및 야외 사용,3,0,0,3
인테리어 효과,디자인 및 인테리어,3,0,0,3
전반적인 만족,사용 만족도,3,0,0,3
크고 무거움,제품 크기 및 무게,0,1,2,3
무게감,제품 크기 및 무게,1,1,1,3
만족스러운 제품,고객 만족도,3,0,0,3
스탠바이미 만족,기타,3,0,0,3
깔끔한 설치,배송 및 설치 서비스,3,0,0,3
다양한 활용,사용 및 편의성,3,0,0,3
디자인,디자인 및 인테리어,3,0,0,3
캠핑 사용 기대,기타,3,0,0,3
캠핑용 적합,기타,3,0,0,3
만족스러움,사용 만족도,3,0,0,3
적당한 크기,제품 기능 및 성능,3,0,0,3
내구성,제품 품질 및 내구성,3,0,0,3
아쉬운 화질,사용 후 아쉬움,0,3,0,3
우수한 음질,제품 성능 및 기능,3,0,0,3
가정에서 사용,다양한 사용 장소,3,0,0,3
휴대성,기타,3,0,0,3
할인 구매,부가 서비스 및 혜택,3,0,0,3
가성비,상품 품질 및 가성비,3,0,0,3
가격,가격 및 구매 만족도,0,1,2,3
우수한 스피커,사운드 및 스피커,3,0,0,3
여자친구 만족,사용 만족도,3,0,0,3
OTT 시청,OTT 및 다양한 시청 경험,1,0,2,3
품질 만족,제품 품질 및 내구성,2,0,0,2
무선 기능,기능 및 사용성,2,0,0,2
가성비 좋음,상품 품질 및 가성비,2,0,0,2
차박 기대,다양한 사용 장소,2,0,0,2
무선 이용 가능,사용 경험 및 기능,2,0,0,2
저렴한 구매,가격 및 가치,2,0,0,2
캠핑 필수템,캠핑 및 야외 사용,2,0,0,2
조립 서비스,서비스 및 지원,2,0,0,2
다양한 OTT 지원,기능 및 성능,2,0,0,2
사용 전,기타,0,0,2,2
늦은 배송,기타,0,1,1,2
무선 사용,사용 편의성,2,0,0,2
유용한 사용,기타,2,0,0,2
캠핑 사용,캠핑 및 외부활동,2,0,0,2
포장 만족,기타,2,0,0,2
유용함,제품 만족도 및 기능,2,0,0,2
높은 사용 만족도,사용 만족도,2,0,0,2
높은 가격,가격 및 가치,0,1,1,2
쉬운 작동,사용 편의성,2,0,0,2
넷플릭스 시청,OTT 및 다양한 시청 경험,2,0,0,2
캠핑에서 활용도 높음,캠핑 및 야외 사용,2,0,0,2
아이의 만족,사용 및 편의성,2,0,0,2
좋은 구매 결정,가격 및 구매 결정,2,0,0,2
묵직한 무게,디자인 및 감성,0,0,2,2
좋은 구매 기회,가격 및 구매 만족도,2,0,0,2
아이들과 함께 사용,기타,2,0,0,2
필수품,기타,2,0,0,2
가격 하락,가격 및 구매,0,2,0,2
무게,기타,0,1,1,2
친절한 설치 및 설명,배송 및 설치 서비스,2,0,0,2
상품 문제 없음,제품 품질,1,0,1,2
생각보다 큰 크기,휴대성과 활용성,1,0,1,2
삶의 질 상승,기타,2,0,0,2
OTT 시청 편리,OTT 및 다양한 시청 경험,2,0,0,2
만족스러운 상품,제품 만족도 및 기능,2,0,0,2
친절한 기사님,제품 설치 및 배송,2,0,0,2
친절한 답변,배송 및 서비스,2,0,0,2
만족스러운 설치,사용 만족도,2,0,0,2
친절한 배송 기사,배송 및 설치 서비스,2,0,0,2
친절한 배송기사,배송 및 서비스,2,0,0,2
TV 없는 가정에서 유용,선물 및 가정용 적합성,2,0,0,2
선명한 화면,화질 및 음질,2,0,0,2
우수한 휴대성,제품 성능,2,0,0,2
TV 없는 집에서 유용,시청 환경 및 편의성,2,0,0,2
LG 제품 만족,제품 만족도 및 기능,2,0,0,2
화질,기타,0,2,0,2
매일 사용,기능 및 사용성,2,0,0,2
전체적으로 만족,사용 만족도,2,0,0,2
제품 수령,기타,0,0,2,2
가격 대비 만족,가격 및 구매 만족도,2,0,0,2
합리적인 가격,가격 및 구매,2,0,0,2
할인된 가격,가격 및 가치,2,0,0,2
대만족,사용 만족도,2,0,0,2
가격 만족,가격 및 가치,2,0,0,2
무거운 무게,디자인 및 감성,0,2,0,2
요리하면서 시청,사용 환경 및 상황,1,0,1,2
좋은 기능,기술 및 성능,2,0,0,2
화질 아쉬움,화질 및 음향,0,2,0,2
작은 화면,화질 및 화면 관련,0,2,0,2
만족도 높음,제품 만족도 및 기능,2,0,0,2
배송 시간,배송 및 설치 서비스,0,0,2,2
신세계 경험,제품 만족 및 추천,2,0,0,2
좋은 화면,화질 및 음질,2,0,0,2
배송 지연 고민,배송 및 서비스,0,0,2,2
좋은 사용 경험,사용 경험 및 기능,2,0,0,2
아이들 게임 가능,가족 및 아이들 사용,2,0,0,2
큰 사이즈,제품 디자인 및 외관,1,0,1,2
인테리어 해치지 않음,제품 디자인 및 인테리어,2,0,0,2
신속한 설치,설치 및 배송 서비스,2,0,0,2
기다리던 제품,기타,2,0,0,2
휴대 가능,휴대성과 활용성,2,0,0,2
큰 화면 만족,제품 기능 및 성능,2,0,0,2
방에서 사용,기타,1,0,1,2
부모님 사용 만족,사용 만족도,2,0,0,2
괜찮은 음질,제품 성능,2,0,0,2
좋은 휴대성,편의성 및 휴대성,2,0,0,2
좋은 스피커 성능,제품 성능 및 기능,2,0,0,2
좋은 성능,제품 성능 및 기능,2,0,0,2
구매 후 만족,제품 만족도 및 기능,2,0,0,2
구매 추천,사용 만족도,2,0,0,2
아이 만족,가족 및 아이들 사용,2,0,0,2
편리성,사용 편의성,1,0,1,2
직접 설치,배송 및 설치 서비스,2,0,0,2
터치스크린,사용 편의성,2,0,0,2
이동성 좋음,기능 및 사용 편리성,2,0,0,2
아름다운 디자인,디자인 및 인테리어,2,0,0,2
빠른 구매,구매 및 결정,2,0,0,2
편리한 터치,기능 및 사용성,2,0,0,2
좋은 음향,제품 성능 및 기능,2,0,0,2
LG 가전 만족,브랜드 및 제품 신뢰,2,0,0,2
고급스러움,디자인 및 외관,2,0,0,2
간편한 조작,사용 편의성,2,0,0,2
유튜브/넷플릭스 시청,제품 기능 및 성능,2,0,0,2
터치 기능,화질 및 화면 관련,2,0,0,2
공간 절약,디자인 및 인테리어,2,0,0,2
1인가구에 적합,선물 및 가정용 적합성,2,0,0,2
게임 기능,게임 및 엔터테인먼트,2,0,0,2
좋은 품질,기타,2,0,0,2
좋은 물건,기타,2,0,0,2
컴팩트함,기능 및 사용 편리성,2,0,0,2
완벽한 사이즈,기타,1,0,0,1
제품 상태 양호,기타,1,0,0,1
올려놓을 곳 필요,기타,0,1,0,1
우수한 성능,제품 품질 및 성능,1,0,0,1
제품 수집의 재미,선물 및 구매 만족,1,0,0,1
완벽한 기기,사용 만족도,1,0,0,1
용도 차이,기타,0,0,1,1
완벽한 9월 혜택,기타,1,0,0,1
우수한 설치 서비스,배송 및 설치 서비스,1,0,0,1
제품 색상,디자인 및 외관,0,0,1,1
우수한 디자인,디자인 및 품질,1,0,0,1
제품 설치 서비스 만족,설치 및 배송 서비스,1,0,0,1
우렁찬 사운드,제품 성능 및 기능,1,0,0,1
좋은 영상 재생,기타,1,0,0,1
좋은 스피커 음질,화질 및 음질,1,0,0,1
제품 설치 만족,제품 설치 및 배송,1,0,0,1
와이프의 만족,사용 만족도,1,0,0,1
와이파이 연결 문제,문제 및 불만족,0,1,0,1
우수한 기능,제품 기능 및 성능,1,0,0,1
좋은 연결성,연결 및 미러링,1,0,0,1
좋은 구매 조건,가격 및 구매 결정,1,0,0,1
제품 안전,제품 내구성 및 안전,1,0,0,1
완벽한 음량,화질 및 음질,1,0,0,1
좋은 반응속도,사용 경험 및 기능,1,0,0,1
외부 브리핑용 사용,기타,1,0,0,1
좁은 공간에서 활용,이동성과 실용성,1,0,0,1
좋아 보임,기타,1,0,0,1
좋은 TV,기타,1,0,0,1
외국어 영상 교육용 활용,제품 기능 및 성능,1,0,0,1
완성도,기술 및 성능,1,0,0,1
좋은 갬성모드,기타,1,0,0,1
좋은 구매,가격 및 구매 만족도,1,0,0,1
좋은 동영상 재생,제품 성능 및 기능,1,0,0,1
왕추천,추천 및 선물,1,0,0,1
외관상 첫느낌,제품 외관 및 첫인상,0,0,1,1
좋은 내구성 예상,제품 품질 및 성능,1,0,0,1
외관 디자인 아쉬움,디자인 및 외관,0,1,0,1
좋은 내구성,제품 내구성 및 안전,1,0,0,1
좋은 배송,배송 및 포장,1,0,0,1
좋은 배송 및 설치,설치 및 배송 서비스,1,0,0,1
제품 이상 없음,사용 만족도,1,0,0,1
좋은 사용감,사용 만족도,1,0,0,1
제품 잘 만듦,제품 만족도 및 기능,1,0,0,1
제품 퀄리티 좋음,기타,1,0,0,1
좋은 설치,기술 및 성능,1,0,0,1
좋은 기회에 득템,선물 및 구매 만족,1,0,0,1
좋은 설명,서비스 및 지원,1,0,0,1
제품 크기 큼,제품 크기 및 무게,0,0,1,1
좋은 서비스,서비스 및 지원,1,0,0,1
완벽한 설치,제품 설치 및 배송,1,0,0,1
제한된 성능,제품 성능 및 기능,0,1,0,1
제한된 어플,제품 성능 및 기능,0,1,0,1
외부 사용 적음,기타,0,0,1,1
좋은 사용성,기타,1,0,0,1
외부 브리핑용 사용 만족,사용 만족도,1,0,0,1
조용한 바퀴 이동,특별한 용도 및 추천,1,0,0,1
조카 만족,아이 및 가족,1,0,0,1
이동 사용 추천,사용 및 편의성,1,0,0,1
전체 만족,제품 품질 및 성능,1,0,0,1
우수한 음량,화질 및 음향,1,0,0,1
유튜브 자주 시청,기타,1,0,0,1
인테리어와 잘 어울림,디자인 및 외관,1,0,0,1
인테리어용 좋음,제품 디자인 및 인테리어,1,0,0,1
일반전원 및 배터리전원 지원,제품 성능 및 기능,1,0,0,1
유튜브/넷플릭스/쿠팡플레이/티빙 시청,연결 및 호환성,1,0,0,1
임신 선물 만족,선물 및 특별한 순간,1,0,0,1
자기 전 시청,시청 환경 및 편의성,1,0,0,1
자기전 시청,OTT 및 다양한 시청 경험,0,0,1,1
자녀 만족,아이 및 가족,1,0,0,1
자세 개선,특별한 용도 및 추천,1,0,0,1
자유로운 사용,사용 만족도,1,0,0,1
자주 사용하지 않음,사용 만족도,0,0,1,1
인테리어 소품,디자인 및 인테리어,1,0,0,1
자취생 추천,추천 및 선물,1,0,0,1
작동 만족,기타,1,0,0,1
유튜브 용도,제품 기능 및 성능,0,0,1,1
작업실에서 다양한 용도 사용,사용 장소 다양성,1,0,0,1
작은 배터리 용량,기능 및 기술,0,1,0,1
작은 사운드 (Apple Music),사운드 및 스피커,0,1,0,1
작은 태블릿보다 보기 좋음,편의성 및 휴대성,1,0,0,1
유튜브 시청 좋음,기타,1,0,0,1
유튜브 시청,기타,1,0,0,1
유튜브 단축키 없음,기능 및 기술,0,1,0,1
음량,기타,1,0,0,1
음성인식 기능,사용 편의성 및 기능,1,0,0,1
제품 등록 문제,기타,0,1,0,1
이벤트 사용 적합,기타,1,0,0,1
음질 아쉬움,화질 및 음향,0,1,0,1
음악 틀어 일하기,기타,1,0,0,1
음악 및 영화 시청,제품 성능 및 기능,1,0,0,1
이동 시 파손 위험 없음,기타,1,0,0,1
이동 중 사용,공간 및 이동성,1,0,0,1
이동 중 시청,시청 환경 및 편의성,1,0,0,1
음악 듣기 좋음,기타,1,0,0,1
이동식 티비 만족,이동성과 실용성,1,0,0,1
이동하며 영상/티비 시청,이동성 및 휴대성,1,0,0,1
이동형 티비 좋음,시청 환경 및 편의성,1,0,0,1
음악 듣기,사용 및 편의성,1,0,0,1
인터넷 설치 기대,기타,1,0,0,1
이쁜 외관,디자인 및 외관,1,0,0,1
음악 기능,기타,1,0,0,1
이사 선물로 적합,기타,1,0,0,1
이사 전 구입,기타,0,0,1,1
이즈베스트 업체 만족,기타,1,0,0,1
음악 감상,기타,1,0,0,1
인기,기타,1,0,0,1
인기 많은 상품,기타,0,0,1,1
인싸 등극,기타,1,0,0,1
인터넷,기타,1,0,0,1
좋은 이동성,이동성 및 휴대성,1,0,0,1
유튜브 강의 시청,OTT 및 콘텐츠 시청,1,0,0,1
잘 작동,제품 성능 및 기능,1,0,0,1
운동 시 사용 좋음,사용 및 편의성,1,0,0,1
적절한 선 길이,디자인 및 구성,1,0,0,1
적절한 크기,기타,1,0,0,1
전용티비,기타,0,0,1,1
전원어댑터 일체화 아쉬움,부정적 경험 및 개선점,0,1,0,1
이동 시 유용,휴대성 및 이동성,1,0,0,1
원하는 날에 배송,배송 및 절차,1,0,0,1
전체적인 만족,제품 만족도 및 기능,1,0,0,1
원하는 날 배송,배송 및 포장,1,0,0,1
움직이는 27인치 태블릿,특별한 용도 및 추천,1,0,0,1
운동 영상 활용,사용 및 편의성,1,0,0,1
운동 시 사용,특별한 용도 및 환경,1,0,0,1
장판에 사람모양 새겨짐,기타,0,0,1,1
우수한 품질,디자인 및 품질,1,0,0,1
접어서 보관 가능,편의성 및 휴대성,1,0,0,1
정확한 설치,제품 설치 및 배송,1,0,0,1
우수한 터치 반응 속도,제품 성능 및 기능,1,0,0,1
우수한 제품 퀄리티,제품 품질 및 성능,1,0,0,1
정확함,기타,1,0,0,1
제값,가격 및 가치,1,0,0,1
우수한 이동성,이동성 및 휴대성,1,0,0,1
제품 괜찮음,제품 품질 및 성능,0,0,1,1
제품 도움,기타,1,0,0,1
적절한 사이즈,기능 및 사용 편리성,1,0,0,1
적시에 구할 수 있음,구매 및 결정,1,0,0,1
원하는 날짜에 배송,제품 설치 및 배송,1,0,0,1
원하는 날짜에 배송 설치,배송 및 설치 서비스,1,0,0,1
재고 확인 및 배송일정 체크,배송 및 설치 서비스,1,0,0,1
유튜브 가능,사용 편의성 및 기능,1,0,0,1
유튜브,기타,1,0,0,1
유용한 장작불 화면,기타,1,0,0,1
재구매 의향,제품 만족도 및 기능,1,0,0,1
재미있는 게임앱,기타,1,0,0,1
재미있는 보드게임 기능,게임 및 엔터테인먼트,1,0,0,1
재밌고 귀여운 제품,사용 만족도,1,0,0,1
유용한 기기,휴대성과 활용성,1,0,0,1
저렴한 구매 방법 발견,가격 및 구매,1,0,0,1
저렴한 행사 가격,가격 및 구매,1,0,0,1
유선 TV 연결 방법 어려움,문제 및 불만족,0,1,0,1
유료 어플 필요,특별한 용도 및 환경,0,1,0,1
적당한 무게감,제품 기능 및 성능,1,0,0,1
적당한 사이즈,화질 및 화면 관련,1,0,0,1
적당한 사이즈와 극강의 화질,기타,1,0,0,1
유니크한 디자인,디자인 및 감성,1,0,0,1
원하던 제품 구매,고객 만족도,1,0,0,1
적당한 화면 크기,기타,1,0,0,1
적당한 화질,제품 성능 및 기능,0,0,1,1
원하던 모델 구매,선물 및 구매 만족,1,0,0,1
12개월 무이자 혜택,기타,1,0,0,1
차에서 활용,연결 및 호환성,1,0,0,1
좋은 케이스 만듬새,디자인 및 외관,1,0,0,1
파손 강함,제품 내구성 및 안전,1,0,0,1
텐트에서 사용,캠핑 및 야외 사용,1,0,0,1
퇴근 후 개봉 예정,기타,0,0,1,1
특가 구매,가격 및 가치,1,0,0,1
튼튼한 기둥,제품 품질 및 내구성,1,0,0,1
튼튼한 외장,기타,1,0,0,1
튼튼한 제작,디자인 및 품질,1,0,0,1
티비,기타,1,0,0,1
티비 대용,기타,1,0,0,1
티비 대용으로 좋음,제품 성능 및 기능,1,0,0,1
티비 없는 거실에 적합,공간 및 이동성,1,0,0,1
티비 잘 봄,기타,1,0,0,1
티비 화질 만족,기타,1,0,0,1
티비와 차별화,기능 및 사용성,1,0,0,1
판매 권장,기타,1,0,0,1
캠핑장에서 적합,캠핑 및 야외 활용,1,0,0,1
판매 응원,기타,1,0,0,1
판매자 응대,구매 및 서비스 경험,1,0,0,1
편리한 가방 구성,디자인 및 구성,1,0,0,1
편리한 구성품,사용 편의성,1,0,0,1
편리한 눈높이 및 각도 조절,사용 편의성,1,0,0,1
편리한 리모컨 기능,기타,1,0,0,1
편리한 리모컨 사용,사용 편의성,1,0,0,1
편리한 사용 경험,제품 만족도 및 기능,1,0,0,1
편리한 시청,기능 및 사용 편리성,1,0,0,1
편리한 영화 시청,기타,1,0,0,1
편리한 음성지원,기타,1,0,0,1
편리한 작동,사용 편의성,1,0,0,1
편리한 터치 화면,사용 편의성,1,0,0,1
터치의 이점,기능 및 사용 편리성,1,0,0,1
터치식 좋음,기타,1,0,0,1
터치스크린 편리,사용 편의성 및 기능,1,0,0,1
터치스크린 조작 용이,사용 편의성,1,0,0,1
커버 필요,제품 디자인 및 외관,0,0,1,1
컴퓨터 모니터 연결 사용,연결 및 호환성,1,0,0,1
케이스 색상 만족,제품 디자인 및 외관,1,0,0,1
케이스 포함,기타,1,0,0,1
케이스 필요,디자인 및 구성,0,0,1,1
크기 만족,기타,1,0,0,1
크리스마스 선물,기타,1,0,0,1
큰 TV 사용 불가,문제 및 불만족,0,0,1,1
큰 사운드 (일반 TV),사운드 및 스피커,1,0,0,1
큰 소리,제품 성능 및 기능,1,0,0,1
큰 태블릿과 유사,기타,1,0,0,1
큰 화면 크기,기타,1,0,0,1
큰 화면과 좋은 화질,제품 성능,1,0,0,1
큰 화면으로 시청,OTT 및 다양한 시청 경험,1,0,0,1
큰 화면으로 시청 좋음,제품 기능 및 성능,1,0,0,1
큰 화면으로 영상 시청,기타,1,0,0,1
큰 화면으로 유튜브/넷플릭스 시청,연결 및 미러링,1,0,0,1
클캠 사용 계획,활용 계획 및 추천,1,0,0,1
태블릿,기타,1,0,0,1
터치 기능 사용 빈도 낮음,기타,0,1,0,1
터치 기능 편리,디자인 및 외관,1,0,0,1
터치 딜레이,기능 및 기술,0,1,0,1
터치 스크린,화질 및 화면 관련,1,0,0,1
터치 편리,사용 편의성,1,0,0,1
터치감,기타,1,0,0,1
터치감 만족,기타,1,0,0,1
터치스크린 선택,기능 및 사용 편리성,1,0,0,1
편리한 터치스크린,디자인 및 외관,1,0,0,1
편리한 화면 조절,사용 및 편의성,1,0,0,1
편리한 활용도,기타,1,0,0,1
혼자 영화 보기 좋음,기타,1,0,0,1
홈트 편리,사용 편의성,1,0,0,1
홈트용 만족,사용 환경 및 상황,1,0,0,1
화면 만족,화질 및 음질,1,0,0,1
화면 전송 끊김,기능 및 기술,0,1,0,1
화면 크기 아쉬움,기타,0,1,0,1
화면 크기 업그레이드 희망,기능 및 기술,0,0,1,1
화면 터치 편리,사용 편의성,1,0,0,1
화질 개선 필요,화질 및 사운드,0,1,0,1
화질 만족,화질 및 사운드,1,0,0,1
화질 보통,화질 및 음향,0,0,1,1
화질 열화,화질 및 음향,0,1,0,1
화질 좋음,화질 및 음질,1,0,0,1
화질 차이,화질 및 사운드,1,0,0,1
환불 불가,불만 및 개선점,0,1,0,1
활용도 높음,휴대성과 활용성,1,0,0,1
회사용도,다양한 사용 환경,0,0,1,1
회의용으로 사용,기타,1,0,0,1
훌륭한 음질,제품 성능,1,0,0,1
훌륭한 제품,제품 품질 및 성능,1,0,0,1
휴대성 있는 모니터 선택,이동성 및 휴대성,0,0,1,1
휴대성 좋음,휴대성 및 이동성,1,0,0,1
휴대용 TV,기타,1,0,0,1
휴대용 플레이어,기타,1,0,0,1
휴대폰 미러링,연결 및 미러링,1,0,0,1
휴대폰 사용 감소,기타,0,0,1,1
흐린 화질,기타,0,1,0,1
희망 배송일 준수,배송 및 설치 서비스,1,0,0,1
홈카페 사용,기타,1,0,0,1
혼자 사용,사용 환경 및 상황,1,0,0,1
편리한 휴대,휴대성과 활용성,1,0,0,1
호환성,기타,1,0,0,1
편안한 메뉴 구성,기타,1,0,0,1
편안한 사용 경험,기능 및 사용성,1,0,0,1
편안함,기타,1,0,0,1
편의성,편의성 및 휴대성,1,0,0,1
편의성 만족,기타,1,0,0,1
평범한 화질,화질 및 화면 관련,0,0,1,1
포토 이벤트 참여,기타,0,0,1,1
포토리뷰 포인트,부가 서비스 및 혜택,0,0,1,1
품질 좋음,상품 품질 및 가성비,1,0,0,1
프리젠테이션 가능,기타,1,0,0,1
플스 연결,게임 및 엔터테인먼트,1,0,0,1
피벗 기능,제품 성능 및 기능,1,0,0,1
필수템,기타,1,0,0,1
필요성 인식,사용 경험 및 기능,1,0,0,1
하루종일 시청,시청 환경 및 편의성,0,1,0,1
하자 없는 제품,제품 품질,1,0,0,1
할인,가격 및 가치,1,0,0,1
행복함,사용 만족도,1,0,0,1
행사에서 렌탈 활용,기타,1,0,0,1
행사용 구입,기타,0,0,1,1
행사용 사용,기타,1,0,0,1
행운의 인사,기타,0,0,1,1
향상된 사운드,제품 성능,1,0,0,1
향상된 휴대성,무게 및 휴대성,1,0,0,1
허위 광고,고객 서비스 및 상담,0,1,0,1
혁신적임,기타,1,0,0,1
현재 만족,제품 만족 및 추천,1,0,0,1
캠핑족 필수템,캠핑 및 야외 사용,1,0,0,1
캠핑장에서 인기,이동성 및 휴대성,1,0,0,1
좋은 터치,기타,1,0,0,1
차박에서 사용 만족,사용 만족도,1,0,0,1
집에서 불멍 기분,기타,1,0,0,1
집에서 사용,기타,1,0,0,1
집에서 사용 좋음,기타,1,0,0,1
집에서 사용하기 좋음,사용 및 편의성,1,0,0,1
집에서 잘 사용,다양한 사용 장소,1,0,0,1
집에서 활용도 좋음,다양한 사용 장소,1,0,0,1
짧은 무선 사용 시간,사용 경험 및 기능,0,1,0,1
짧은 배터리 수명,문제점 및 개선점,0,1,0,1
짧은 사용시간,기타,0,1,0,1
차박 및 캠핑 활용도,캠핑 및 외부활동,1,0,0,1
차박 사용,다양한 사용 장소,1,0,0,1
차박 시 작은 화면 불편,기타,0,1,0,1
차박에서 사용 기대,다양한 사용 환경,1,0,0,1
차박에서 활용도 좋음,다양한 사용 장소,1,0,0,1
캠핑장에서 사용 기대,기타,1,0,0,1
오리지널 제품 선호,기타,1,0,0,1
착한 가격,가격 및 구매 결정,1,0,0,1
처음 기대보다 실망,문제 및 불만족,0,1,0,1
최고의 가전제품,사용 만족도,1,0,0,1
최고의 구매,사용 만족도,1,0,0,1
최고의 선택,기타,1,0,0,1
최고의 안방 TV,기타,1,0,0,1
최고의 음질,제품 성능 및 기능,1,0,0,1
최고의 화질,제품 성능 및 기능,1,0,0,1
최대 높이 낮음,기타,0,1,0,1
최신 TV,제품 성능 및 기능,1,0,0,1
최애 상품,상품 품질 및 가성비,1,0,0,1
최저가 구매,가격 및 구매,1,0,0,1
집에서 불멍,기타,0,0,1,1
집에서 만족,사용 만족도,1,0,0,1
집순이에게 필수템,사용 및 편의성,1,0,0,1
집순이에게 적합,기타,1,0,0,1
좋은 편의성,기타,1,0,0,1
좋은 평가,기타,1,0,0,1
좋은 행사로 구매,기타,1,0,0,1
주변의 부러움,기타,1,0,0,1
중고 거래 추천,기타,0,0,1,1
즐거운 추억,가족 및 아이들 사용,1,0,0,1
즐거움 증가,활용 계획 및 추천,1,0,0,1
지상파 미지원,기능 및 기술,0,1,0,1
